Hotel Name,Rating,Rating Description,Reviews,Location,Nearest Landmark,Distance to Landmark,Price,Tax,Final Price,Room Type,Latitude,Longitude
Courtyard by Marriott Mumbai International Airport,4.3,Excellent,1829,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.3 km ,7500.0,0.0,7500.0,Standard,19.1140703,72.8641579
The Westin Mumbai Garden City,4.4,Excellent,1431,Goregaon ,T1 - Chhatrapati Shivaji International Airport,9.5 km ,9000.0,0.0,9000.0,Standard,19.1728698,72.860506
JW Marriott Mumbai Juhu,4.4,Excellent,1731,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.5 km ,12500.0,0.0,12500.0,Standard,19.1018504,72.8262233
ITC Maratha - A Luxury Collection Hotel,4.4,Excellent,4680,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.4 km ,10030.0,0.0,10030.0,Standard,19.1038836,72.8701653
City Stay,4.6,Excellent,214,Andheri East ,T1 - Chhatrapati Shivaji International Airport,3.7 km ,1229.0,370.0,1599.0,Deluxe,19.1158931,72.85682589999999
JW Marriott Mumbai Sahar,4.5,Excellent,2139,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.2 km ,9500.0,0.0,9500.0,Deluxe,19.1025072,72.8782482
Radisson Mumbai Andheri MIDC,4.3,Excellent,3609,Andheri East ,T2 - Chhatrapati Shivaji International Airport,4.1 km ,7000.0,0.0,7000.0,Standard,19.1175169,72.8649065
Sofitel Mumbai BKC- Luxury Brand by Accor,4.3,Excellent,2276,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,7.6 km ,8550.0,0.0,8550.0,Standard,19.0674785,72.8690412
The Leela Mumbai,4.5,Excellent,2861,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.7 km ,10500.0,0.0,10500.0,Deluxe,19.1090922,72.87381859999999
Novotel Mumbai International Airport,4.4,Excellent,102,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.8 km ,8299.0,0.0,8299.0,Standard,19.1101526,72.87537809999999
Radisson Blu Mumbai International Airport,4.4,Excellent,2166,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.1 km ,7499.0,0.0,7499.0,Standard,19.1102222,72.8786221
Sun-N-Sand,4.2,Very Good,2353,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.8 km ,8835.0,0.0,8835.0,Standard,19.1096209,72.82380669999999
The St. Regis Mumbai,4.5,Excellent,1328,South Mumbai ,Tata memorial cancer hospital,640 m ,12500.0,0.0,12500.0,Deluxe,18.9944817,72.8240099
Niranta Airport Transit Hotel & Lounge Terminal 2 Arrivals/Landside,4.0,Very Good,1443,In Mumbai Airport ,,,9303.0,0.0,9303.0,Standard,19.0985928,72.87427679999999
"Zostel Mumbai
Like a 3",4.0,Very Good,738,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.6 km ,1342.0,285.0,1627.0,Standard,19.1194616,72.8837906
"President, Mumbai - IHCL SeleQtions",4.4,Excellent,2510,South Mumbai ,Queen's Necklace - Marine Drive,2.4 km ,10400.0,0.0,10400.0,Standard,18.9145683,72.82080619999999
Novotel Mumbai Juhu Beach,3.6,Very Good,2306,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.6 km ,8500.0,0.0,8500.0,Basic,19.1086322,72.8243853
Ibis Mumbai Airport - An Accor Brand,3.6,Very Good,1990,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,680 m ,6499.0,0.0,6499.0,Basic,19.0966656,72.8534991
"Ginger Mumbai, Andheri (MIDC)",3.4,Good,2721,Jogeshwari East ,T2 - Chhatrapati Shivaji International Airport,5.3 km ,2624.0,0.0,2624.0,Basic,19.1284906,72.8688099
Lakeside Chalet Marriott Executive Apartments,4.1,Very Good,362,Powai ,T2 - Chhatrapati Shivaji International Airport,6.5 km ,9000.0,0.0,9000.0,Standard,19.1328847,72.8994373
"Lemon Tree Hotel, Kalina, Mumbai",3.3,Good,324,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,6.7 km ,4975.0,0.0,4975.0,Basic,19.0746607,72.86966629999999
Ramee Guestline Hotel Juhu,3.6,Very Good,3162,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.7 km ,5275.0,0.0,5275.0,Basic,19.1092234,72.8255357
Ramee Techome,4.0,Very Good,1173,Khar West ,T1 - Chhatrapati Shivaji International Airport,5.2 km ,6231.0,0.0,6231.0,Standard,19.066971,72.8393147
Shabana,3.5,Very Good,216,Colaba ,Gateway Of India Mumbai,1.1 km ,1304.0,355.0,1659.0,Basic,18.9240525,72.832088
Hotel Bawa International,4.0,Very Good,1817,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,810 m ,5000.0,0.0,5000.0,Standard,19.096475,72.8538355
"Ginger Mumbai, Goregaon",3.8,Very Good,478,Goregaon ,T1 - Chhatrapati Shivaji International Airport,8.5 km ,3224.0,0.0,3224.0,Basic,19.1598797,72.8509969
Grand Hyatt Mumbai,4.3,Excellent,1855,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,3.7 km ,10000.0,0.0,10000.0,Standard,19.0768067,72.8511248
Hotel Marine Plaza,4.2,Very Good,1292,Churchgate ,Queen's Necklace - Marine Drive,270 m ,9449.0,0.0,9449.0,Standard,18.9313358,72.8230561
"Lemon Tree Premier, Mumbai International Airport, Mumbai",4.2,Very Good,5001,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.3 km ,3566.0,0.0,3566.0,Standard,19.107635,72.88212299999999
Hotel Airport International,3.7,Very Good,3139,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,780 m ,3255.0,770.0,4025.0,Basic,19.0963968,72.854192
Dragonfly Hotel - The Art Hotel,3.5,Very Good,906,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.1 km ,3035.0,935.0,3970.0,Basic,19.1108308,72.8629938
Four Seasons Hotel Mumbai,4.4,Excellent,1863,South Mumbai,,,49000.0,0.0,49000.0,Standard,18.9944097,72.820347
Gateway Inn | Rooms in an Apartment,3.2,Good,356,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.3 km ,1839.0,495.0,2334.0,Basic,18.9581934,72.8320729
"The Oberoi, Mumbai",4.7,Excellent,876,Marine Drive ,Queen's Necklace - Marine Drive,420 m ,16750.0,0.0,16750.0,Deluxe,18.9268102,72.8201184
Hotel Jyoti Dwelling,4.2,Very Good,1539,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.2 km ,2232.0,456.0,2688.0,Standard,19.1107368,72.8627185
